Kontext	Conversational Move	Topic	Count	Antwort 1	Antwort 2	Antwort 3	Antwort 4
AK_Default	CM_CatchAll	#Adelaide_Shackleton	1	Ich bin Adelaide Shackleton. Ich bin Geologin.			
AK_Default	CM_CatchAll	#Alexander_Veltman	2	Alexander Veltman hat diese Expedition angeleitet.. bevor er vor zwei Wochen verschwand.	Dr. Veltman hat mir zu meinem Bedauern andere Aufgaben gegeben als zusammen mit ihm und David Experimente am Kairosit durchzuführen.		
AK_Default	CM_CatchAll	#Arbeit	2	Während Alexander und David die Reaktion von Kairosit auf elektrische Energie in der Höhle untersuchten, habe ich Eis und Gesteinsproben gesammelt und untersucht. Das Eis scheint hier viel Älter zu sein als wir erwartet hätten. 	Nachdem Alexander verschwunden ist habe ich mich auch etwas mit dem Kairosit beschäftigt. Es besitzt wirklich einzigartige Eigenschaften.		
AK_Default	CM_CatchAll	#Crew	1	Als wir ankamen waren wir zu fünft. Alexander Veltman, er hat die Expedition geleitet. David Edgeworth, Forschungsassistenz von Alexander. Edgar Evans ist der Kapitän der uns her brachte. Lawrence Wilson ist unser Azt und ich, Adelaide Shackleton, Gelogin.  Aber Alexander ist vor zwei Wochen verschwunden und David...			
AK_Default	CM_CatchAll	#David_Edgeworth	1	David hat sich um mich gekümmert, er war mein Mentor. Er hat für mich gesorgt und mir ermöglicht mit auf diese Expedition zu kommen. Dr. Veltman hätte das nie zugelassen, wenn er sich nicht für mich eingesetzt hätte.  Und jetzt ist er tot..			
AK_Default	CM_CatchAll	#Edgar_Evans	1	Edgar ist unser Kapitän, der uns an diesen faszinierenden Ort gebracht hat. Er hat zwar meist keine feste Aufgabe, aber er hilft wo er kann.			
AK_Default	CM_CatchAll	#Ersatzteil	1	Du benötigst eine Elektronenröhre um die Maschine in der Höhle wieder zum laufen zu bringen. Scheinbar ist sie bei dem letzten Betrieb geplatzt. Wenn du planst daran rumzuspielen, pass auf die Spannung nicht zu hoch einzustellen. David ist bei einem solchen Unfall ums Leben gekommen.. Vielleicht findest du Davids aufzeichnungen. Sie könnten dir vielleicht helfen die Maschine einzustellen.			
AK_Default	CM_CatchAll	#Forschung	2	Ich habe zunächst auf Verheiß von Alexander Bodenproben von dem Gestein und dem Eis hier genommen. Merkwürdigerweise sind die oberen Gesteinsschichten hier deutlich älter als zu erwarten wäre.	Seit Alexander verschwunden ist habe ich auch das Kairosit untersucht. Es ist ein wirklich faszinierendes Material. Ich habe noch nie etwas vergleichbares gesehen.		
AK_Default	CM_CatchAll	#Friedhof	1	Wir haben David in der nähe des Lagers begraben.. Dort steht auch ein Kreuz für Doktor Veltman. Ich glaube nicht, dass er wieder auftaucht.			
AK_Default	CM_CatchAll	#Höhle	1	Mit der Hilfe eines Seismographen habe ich kurz nach unserer Ankunft ungewöhnliche, konsistente Vibrationen gemessen. In der nähe des Eisblocks wurden sie stärker, also beschlossen wir einen Tunnel hineinzuschlagen und haben dort das Kairosit gefunden.			
AK_Default	CM_CatchAll	#Kairosit	4	David und Dr. Veltman haben seit der Entdeckung daran geforscht. Ich hätte es gerne vor Veltmans Verschwinden schon genauer untersucht.	Es ist wirklich faszinierend. Es scheint Eigenschaften zu besitzen, wie kein anderes uns bisher bekanntes Material.	Wird das Gestein mit elektrischer Energie gespeist, beginnt es zu luminiszieren und ein Luftflimmern entsteht in seinem Umkreis. Es scheint als würden sich Dinge langsamer in diesem Umkreis bewegen.	In einem meiner Tests mit dem Kairosit haben sich sogar Dinge auf meinem Schreibtisch bewegt. Fotos die dort lagen waren auf einmal schwarz, als wären sie nicht entwickelt worden.
AK_Default	CM_CatchAll	#Schatulle	2	Meinen sie die Schatulle von Doktor Veltman? Er hat sie auf seinem Schreibtisch stehen, aber ich habe nie gesehen was er dort drinnen aufbewahrt.	Der Code der Schatulle ist bestimmt etwas persönliches. Vielleicht Alexanders Geburtstag? Fragen sie Lawrence, er hat Alexanders Gedankengänge am besten verstanden.		
AK_Default	CM_CatchAll	#Lager	1	In diesem Zeltlager leben und arbeiten wir. Wir befinden uns gerade im Forschungszelt. Lawrence befindet sich dort drüben im Wohnzelt. Alexanders Privatzelt befindet sich ebenfalls hier.  			
AK_Default	CM_CatchAll	#Lawrence_Wilson	1	Dr. Wilson ist unser Arzt. Er kümmert sich gut um unser Wohlbefinden. Sowohl körperlich als auch geistig. Er hat für David getan was er konnte... In den letzten Tagen, als Alexander noch hier war, hat Lawrence sich auch oft mit ihm zusammengesetzt. Alexander war so durch den Wind. Ich denke Lawrence konnte ihm etwas helfen. Er hat Alexander gut verstanden.			
AK_Default	CM_CatchAll	#Maschine	2	David hat diese Maschine entwickelt. Sie ist an das Kairositvorkommen in der Höhle angeschlossen. Doktor Veltman und David haben damit untersucht wie das Kairosit auf elektrische Energie ragiert, aber sie ist momentan defekt. Scheinbar ist die Elektronenröhre bei dem letzten Betrieb geplatzt. Wenn du planst daran rumzuspielen, pass auf die Spannung nicht zu hoch einzustellen. David ist bei einem solchen Unfall ums Leben gekommen... Vielleicht findest du aber seine Aufzeichnungen. Sie könnten dir vielleicht helfen die Maschine einzustellen.	Sie haben die Maschine benutzt um mit dem Kairosit zu experimentieren. Sie bezieht dafür Strom vom Generator... Zumindest würde sie das, wenn sie funktionieren würde. Bei dem letzten Betrieb ist scheinbar die Elektronenröhre geplatzt. Ohne Ersatz wird sie nicht mehr funktionieren.		
AK_Default	CM_CatchAll	#Reise	1	Die Anreise war lang. Aber ich hatte zumindest die Zeit, die anderen Crewmitglieder kennenzulernen.			
AK_Default	CM_CatchAll	#Rettung	1	Rettung? Wovon sprechen sie? Es freut uns jedenfalls, dass sie hier sind. Vielleicht können sie uns helfen, Alexander zu finden.			
AK_Default	CM_CatchAll	#Rückreise	1	Wir können jetzt noch nicht an die Rückreise denken. Der Winter ist noch nicht vorüber. Edgar sagt wir können erst im Frühling aufbrechen. Außerdem gibt es hier noch so viel zu erforschen.			
AK_Default	CM_CatchAll	#Schiff	1	Sprechen Sie dazu am besten mit Kapitän Evans. Er kennt sich wohl am Besten mit seinem Schiff aus.			
AK_Default	CM_CatchAll	#Südpol	2	Dies ist wirklich ein faszinierender Ort. Er hält noch so viel für uns bereit. Und wir haben bereits bahnbrechende Entdeckungen gemacht. Ich muss das Kairosit noch weiter erforschen.	Wir sind die ersten Menschen, die diese Küste betreten haben. Das ist wirklich faszinierend, nicht wahr?		
AK_Default	CM_CatchAll	#Vorräte	1	Sprechen Sie dazu am besten mit Kapitän Evans. Er bereitet unsere Mahlzeiten vor und verwaltet die Rationen.			
AK_Default	CM_CatchAll	#Visionen	1	Ich weiß nichts über Visionen von Alexander oder seine Vergangenheit. Vielleicht weiß Lawrence ja etwas darüber. Er hat viel mit Alexander gesprochen kurz bevor er verschwand.			
AK_Default	CM_CatchAll	#Verschwinden	1	Alexander ist vor zwei Wochen verschwunden. Er ist ohne eine Spur verschwunden. Vorher hat er sich aber fast nur in der Höhle aufgehalten und fanatisch weiter experimentiert. Edgar hat ihn zuletzt gesehen.			
AK_Default	CM_CatchAll	#Wasistpassiert	1	Nach unserer Ankunft haben wir die Gegend erforscht. Ich habe Vibrationen registriert die aus der Höhle kamen. Dort haben wir das Kairosit entdeckt. Alexander und David haben Experimente mit elektrischer Energie durchgeführt. Vor einem Monat ist David dann bei einem Unfall gestorben. Alexander hat sich danach komisch verhalten und hat sich in der Höhle zurückgezogen und dort Tag und Nacht weiter geforscht. Vor zwei Wochen ist er dann spurlos verschwunden.			
AK_Default	CM_CatchAll	#Unfall	1	Bei einem Unfall in der Höhle wurde David schwer verletzt... Lawrence konnte nichts für ihn tun. Alexander hingegen hatte Glück. Er war so gut wie unversehrt.			
AK_Default	CM_CatchAll	#Merkwürdig	1	Dieser Ort hat eine Besondere Aura. Ich gehe davon aus, dass es etwas mit dem Kairosit zu tun hat.			
AK_Default	CM_CatchAll	#Eisprobe	1	Bei den Bodenproben ist mir aufgefallen, dass die oberen Gesteinsschichten viel älter sind als sie sein sollten. Das heißt, dieser Ort hat sich seit tausenden Jahren kaum verändert.			
AK_Default	CM_CatchAll	#Aufzeichnungen	1	David hat über die Forschung Buch geführt. Ich weiß aber nicht wo seine Aufzeichnungen jetzt sind. Alle seine Habseligkeiten sind entweder auf dem Schiff oder.. was er bei sich trug.			
AK_Default	CM_CatchAll	#NO_TOPIC	3	Haben sie bereits mit Lawrence und Edgar gesprochen? Die Beiden können ihnen vielleicht weiter helfen. 	Haben sie sich schon die Maschine in der Höhle angesehen? Alexander hat dort viel Zeit verbracht. Vielleicht können sie versuchen nachzustellen was passiert ist um herauszufinden wo Alexander ist.	Vielleicht helfen ihnen die Forschungsaufzeichnungen von Edgar weiter. Ich hätte selber schon nachgeschaut, aber ich konnte mich seit seinem Tod noch nicht dazu durchringen seine Sachen zu durchsuchen.	
AK_Default	CM_AskLocationOfTopic	#Adelaide_Shackleton	1	Ich bin hier. Sie sprechen gerade mit mir. 			
AK_Default	CM_AskLocationOfTopic	#Alexander_Veltman	2	Ich habe keine Idee wo Dr. Veltman sich aufhalten könnte. Er ist vor zwei Wochen einfach verschwunden. Ich kann mir nur schwer vorstellen, dass er bei diesen Verhältnissen noch am Leben ist. Aber vielleicht können sie solange wir noch hier sind etwas über seinen Verbleib in Erfahrung bringen.	Dr. Veltman ist vor einigen Wochen Spurlos verschwunden. Wir konnten bis jetzt nicht herausfinden was mit ihm passiert ist.		
AK_Default	CM_AskLocationOfTopic	#Kairosit	1	Abgesehen von den Proben hier im Forschungszelt befindet sic der Rest des Kairosit in der Höhle, angeschlossen an die Maschine.			
AK_Default	CM_AskLocationOfTopic	#Crew	1	Doktor Wilson müsste ebenfalls im Lager sein. Kapitän Evans finden Sie garantiert bei der Foresight. David.. finden sie auf dem Friedhof. Was Alexander betrifft, weiß keiner von uns wo er ist. Wir haben ihn zuletzt vor zwei Wochen in der Höhle gesehen.			
AK_Default	CM_AskLocationOfTopic	#David_Edgeworth	1	David.. Sie finden sein Grab hinter dem Lager.			
AK_Default	CM_AskLocationOfTopic	#Edgar_Evans	1	Kapitän Evans befindet sich wahrscheinlich bei der Foresight. Er macht bestimmt gerade eine Inventur.			
AK_Default	CM_AskLocationOfTopic	#Ersatzteil	1	Ich weiß leider nicht wo sie eine Elektronenröhre herbekommen. Aber ich vermute Alexander hat sie privat sicher verstaut. Diese Teile sind erstaunlich fragil.			
AK_Default	CM_AskLocationOfTopic	#Friedhof	1	Südlich hinter dem Lager finden sie die beiden Grabkreuze.			
AK_Default	CM_AskLocationOfTopic	#Höhle	1	Wenn Sie dem orange markierten Weg folgen werden Sie die Höhle finden.			
AK_Default	CM_AskLocationOfTopic	#Schatulle	1	 Wenn sie Ihnen bekannt ist, dann wissen sie garantiert auch, dass die Schatulle auf Alexanders Schreibtisch steht.  			
AK_Default	CM_AskLocationOfTopic	#Lager	1	Sie befinden sich bereits im Lager.			
AK_Default	CM_AskLocationOfTopic	#Lawrence_Wilson	1	Lawrence dürfte sich ebenfalls hier im Lager aufhalten. Sehen Sie doch mal im Wohnzelt direkt gegenüber nach.			
AK_Default	CM_AskLocationOfTopic	#Maschine	1	Davids Maschine befindet sich in der Höhle. Sie können dem orange markierten Weg dort hin folgen.			
AK_Default	CM_AskLocationOfTopic	#Schiff	1	Die Foresight liegt westlich von hier. Sie müssen nur dem rot markierten Pfad folgen.			
AK_Default	CM_AskLocationOfTopic	#Südpol	1	Der Südpol.. Dort befinden wir uns gerade, falls Sie es noch nicht mitbekommen haben.			
AK_Default	CM_AskLocationOfTopic	#Vorräte	1	Unsere Vorräte befinden sich auf der Foresight.			
AK_Default	CM_AskStateOfTopic	#Adelaide_Shackleton	1	Mir geht es gut, denke ich. Danke der Nachfrage.			
AK_Default	CM_AskStateOfTopic	#Alexander_Veltman	1	Ich bewundere Alexander für seine Verbissenheit. Nach Davids Tod ging es jedoch so weit, dasss er Tage allein in der Höhle mit den Forschungen verbrachte. In der Zeit hat Lawrece viel mit ihm gesprochen und danach gesehen, dass Alexander bei Verstand bleibt.			
AK_Default	CM_AskStateOfTopic	#Arbeit	1	Seit Alexander verschwunden ist, habe ich selbst angefangen das Kairosit zu untersuchen. Es ist wirklich faszinierend.			
AK_Default	CM_AskStateOfTopic	#David_Edgeworth	1	David war ein guter Mensch. Er hat viel für die Expedition und auch für mich getan. Und jetzt ist er tot.			
AK_Default	CM_AskStateOfTopic	#Edgar_Evans	1	Ich denke Kapitän Evans ist eigentlich ein guter Mensch. Aber er behandelt mich wie ein unerfahrenes Kind. Dabei besitze ich deutlich mehr Qualifikation für diese Expedition als er.			
AK_Default	CM_AskStateOfTopic	#Forschung	1	Ich weiß leider selbst nicht genau welche Ergebnisse Alexander und David erzielt haben. Ich hatte meist andere Aufgaben zu erledigen und habe nicht mit ihnen zusammen arbeiten können. Ich weiß jedoch dass David sich einige Notizen zu den Einstellungen der Maschine gemacht hat. Vielleicht kannst du sie finden.			
AK_Default	CM_AskStateOfTopic	#Kairosit	1	Es lässt sich mit nichts Bekanntem vergleichen. Wird dem Kairosit Energie zugeführt, scheint es die physikalischen Gegebenheiten manipulieren zu können. Ruht das Kairosit so vibriert es permanent leicht. Ich muss es unbedingt weiter erforschen um mehr heraus zu finden.			
AK_Default	CM_AskStateOfTopic	#Lawrence_Wilson	1	Ich verstehe mich gut mit Dr. Wilson. Er hat mir viel geholfen nachdem David...			
AK_Default	CM_AskStateOfTopic	#Maschine	1	Davids Maschine ist momentan defekt. Scheinbar hat Alexander bei seinem letzten Test die Elektronenröhre beschädigt. Ohne ein Ersatzt wirst du sie wahrscheinlich nicht aktivieren können. 			
AK_Default	CM_AskStateOfTopic	#Tod	1	Während eines der Experimente gab es eine Explosion in der Höhle. Die Maschine hat wahrscheinlich zu viel Spannung an das Kairosit abgegeben und es hat sich schlagartig entladen. David wurde schlimm verwundet und hat es nicht überlebt..			
AK_Default	CM_AskStateOfTopic	#Unfall	1	Während eines der Experimente gab es eine Explosion in der Höhle. Die Maschine hat wahrscheinlich zu viel Spannung an das Kairosit abgegeben und es hat sich schlagartig entladen. David wurde schlimm verwundet und hat es nicht überlebt..			
AK_Default	CM_AskTimeOnTopic	#Forschung	1	Kurz nachdem wir hier angekommen sind haben wir die Höhle ausfindig gemacht. Seitdem haben Alexander und David die Experimente durchgeführt und ich habe die Bodenproben analysiert. 			
AK_Default	CM_AskTimeOnTopic	#Friedhof	1	Vor vier Wochen hat Edgar David begraben. Vor ein paar Tagen hat er auch ein Kreuz für Alexander aufgestellt. Seine Situation ist in der Tat aussichtslos, aber irgendwo muss Alexander hin verschwunden sein.			
AK_Default	CM_AskTimeOnTopic	#Höhle	1	Wir haben die Höhle in der ersten Woche hier ausfindig gemacht.			
AK_Default	CM_AskTimeOnTopic	#Kairosit	1	Alexander hat das Kairosit recht bald nach unserer Ankunft entdeckt. Mit der Hilfe meines Seismographen haben wir die Höhle in der ersten Woche hier ausfindig gemacht.			
AK_Default	CM_AskTimeOnTopic	#Lager	1	Das Lager haben wir direkt nach unserer Ankunft hier errichtet.			
AK_Default	CM_AskTimeOnTopic	#Reise	1	Wir sind vor fünf Monaten hier angekommen.			
AK_Default	CM_AskTimeOnTopic	#Rückreise	1	Wir können frühestens in vier Monaten zurückkehren. Nach dem Winter. Bis dahin muss ich versuchen noch so viel ich kann zu lernen.			
AK_Default	CM_AskTimeOnTopic	#Tod	1	David ist.. Wir haben ihn vor vier Wochen begraben.			
AK_Default	CM_AskTimeOnTopic	#Unfall	1	Es ist jetzt ungefähr einen Monat her, seit der Unfall geschehen ist.			
AK_Default	CM_AskTimeOnTopic	#Vorräte	1	Wir sind gerade die Hälfte der geplanten Zeit hier und wir haben nurnoch drei Leute zu versorgen. Ich denke die Vorräte werden noch eine Weile ausreichen. Genaueres kann ihnen aber Edgar dazu sagen.			
AK_Default	CM_CatchAll	#NO_TOPIC	1	Ich meine wir haben heute den 13. Februar 1930, wir sind seit ungefähr fünf Monaten hier.			
AK_Default	SCM_Agree	#NO_TOPIC	1	Es freut mich, dass Sie meiner Meinung sind.			
AK_Default	SCM_Apologize	#NO_TOPIC	1	Wofür entschuldigen sie sich?			
AK_Default	SCM_Disagree	#NO_TOPIC	1	Schade, aber ich respektiere Ihre Meinung.			
AK_Default	SCM_Goodbye	#NO_TOPIC	1	Machen sie es gut.			
AK_Default	SCM_Greet	#NO_TOPIC	1	Ich grüße sie.			
AK_Default	SCM_IntroduceSelf	#NO_TOPIC	2	Freut mich sie kennen zu lernen. Ich bin Adelaide Shackleton.	Das weiß ich, sie haben sich doch bereits vorgestellt.		
AK_Default	SCM_Oppose	#NO_TOPIC	1	Was fällt ihnen ein?			